Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
Ernst & Young,3.5,Management Consulting | London +110 other locations,"Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",10k,1.1L,1.1k,1.6k,1.3k,6,500
IDFC FIRST Bank,4,Banking | Mumbai +615 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",9.7k,44.5k,603,69,754,33,500
DXC Technology,3.7,IT Services & Consulting | Minato +101 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",9.5k,75.3k,792,195,1.2k,6,500
Mahindra & Mahindra,4.1,Automobile | Mumbai +501 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",9.4k,37.3k,657,48,1.3k,9,500
Infosys BPM,3.7,BPO | Bangalore/Bengaluru +77 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal",9.1k,64.9k,910,38,1.2k,6,500
Bajaj Finserv,4,Financial Services | Pune +967 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",8.7k,26.2k,482,11,762,7,500
HDFC Life,4,Insurance | Mumbai +596 other locations,"Highly Rated For Skill Development / Learning, Job Security, Company Culture",8.5k,30.4k,573,71,651,40,500
PwC,3.4,Management Consulting | London +106 other locations,"Critically Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction",8.5k,87.2k,1.3k,2.1k,888,24,500
Conneqt Business Solutions,3.7,BPO | Mumbai +236 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",8.4k,26.4k,437,65,818,29,500
Mphasis,3.4,IT Services & Consulting | Bangalore/Bengaluru +53 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.8k,66.7k,773,98,904,19,500
Yes Bank,3.8,Banking | Mumbai +473 other locations,missing,7.2k,42.6k,405,95,641,16,500
Maruti Suzuki,4.2,Automobile | New Delhi +392 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",7.1k,25.2k,572,725,1.2k,23,500
Startek,3.2,Mumbai +73 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.1k,23.3k,436,83,730,6,500
Paytm,3.3,FinTech | Noida +341 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",7.1k,32.3k,740,73,597,22,500
Asian Paints,4,Chemicals | Mumbai +466 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",7k,22.4k,612,27,923,30,500
Bandhan Bank,3.7,Banking | Kolkata +832 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Work Satisfaction",7k,22.2k,507,4,544,22,500
Samsung,4,Consumer Electronics & Appliances | Seoul +525 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",6.9k,26.3k,539,11,584,14,500
Ericsson,4.2,Telecom | Stockholm +150 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",6.9k,42.2k,396,4,1.1k,16,500
Quess,3.9,BPO | Bangalore +601 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,6.8k,28.1k,378,49,469,20,500
Shriram Finance,4.1,NBFC | Mumbai +987 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",6.8k,13.9k,313,31,57,40,500
HGS,3.9,BPO | Bangalore/Bengaluru +107 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",6.8k,23.6k,228,28,1k,32,500
Tata Steel,4.1,Iron & Steel | Mumbai +193 other locations,"Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",6.8k,28.7k,807,11,722,34,500
EXL Service,3.7,Analytics & KPO | New York City +49 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",6.7k,38.6k,706,518,878,18,500
UltraTech Cement,4.2,Building Material | Mumbai +448 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",6.6k,21.5k,523,76,670,37,500
Cipla,4.1,Pharma | Mumbai +254 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",6.6k,24.5k,463,73,916,18,500
NTT Data Information Processing Services,4,IT Services & Consulting | Chiyoda City +62 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",6.5k,51.1k,669,37,791,39,500
