Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
Purplle.com,3.8,Beauty & Personal Care | Mumbai +23 other locations,Critically Rated For Promotions / Appraisal,276,1.5k,21,16,27,6,500
Mediamint,3.5,Marketing & Advertising | Hyderabad/Secunderabad +2 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",275,2.1k,31,1,32,2,500
Nutricia,3.6,Fitness & Wellness | Utrecht +56 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",275,636,18,--,8,--,500
Toshiba Transmission & Distribution Systems,3.9,Electrical Equipment | Hyderabad +21 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,275,1.6k,21,15,47,5,500
Gammon Engineers And Contractors,3.9,Engineering & Construction | Mumbai +36 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",275,1.3k,20,--,31,1,500
Princess Cruises,4.4,Travel & Tourism | Santa Clarita +13 other locations,"Highly Rated For Company Culture, Salary & Benefits, Job Security",275,390,9,--,36,1,500
SiliconIndia,2.5,Printing & Publishing | Bangalore/Bengaluru +8 other locations,"Critically Rated For Company Culture, Job Security, Work Satisfaction",275,1.8k,25,--,10,2,500
ZF India Technology Center,3.7,Auto Components | Friedrichshafen +5 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",275,2k,36,10,69,--,500
Pfizer Products India,4.1,Pharma | New York City +13 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Job Security",275,1.4k,9,--,31,--,500
Rane Brake Lining,4.3,Auto Components | Chennai +21 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",275,1.3k,18,--,42,--,500
Prism Johnson Limited - RMC (India) Division,4,Building Material | Mumbai +55 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning  Critically Rated For Promotions / Appraisal",275,1.1k,22,--,31,1,500
International Automotive Components,3.9,Auto Components | Southfield +14 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",274,1.7k,16,4,28,3,500
Expedia Group,3.9,Internet | Seattle +11 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  Critically Rated For Promotions / Appraisal, Job Security",274,2.9k,78,35,34,4,500
Intelliswift Software,3.5,IT Services & Consulting | Newark +7 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",274,2.2k,25,35,21,9,500
SirionLabs,3.8,Software Product | Lehi +5 other locations,Highly Rated For Salary & Benefits,274,1.8k,23,11,59,--,500
L&T Defence,3.8,Defence & Aerospace | Mumbai +17 other locations,"Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",274,1.9k,24,--,47,--,500
The Hershey Company,4,Food Processing | Derry Township +57 other locations,"Highly Rated For Company Culture, Salary & Benefits, Job Security  Critically Rated For Promotions / Appraisal",274,1.1k,19,9,28,5,500
SML Isuzu,4.1,Automobile | Chandigarh +45 other locations,"Highly Rated For Work Life Balance, Job Security, Work Satisfaction",274,1.3k,17,6,37,--,500
Hical Technologies,3.7,Auto Components | Bangalore/Bengaluru +4 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",274,1.6k,16,3,26,--,500
Moon Beverages,4,Beverage | New Delhi +21 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",274,1.2k,15,2,20,4,500
Baramati Agro,3.9,FMCG | Pune +33 other locations,missing,274,1.3k,19,--,30,1,500
Fluper,4.1,IT Services & Consulting | Noida +2 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",273,585,19,--,52,--,500
KEPCO Plant Service & Engineering,3.8,Engineering & Construction | Naju +21 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Life Balance",273,1.1k,14,1,27,--,500
ERA Group,3.6,Power | Mumbai +36 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",273,625,5,4,28,--,500
Vasan Eye Care Hospitals,3.9,Healthcare | Chennai +69 other locations,Critically Rated For Promotions / Appraisal,273,691,3,--,25,--,500
YKK,4,Fashion & Textile | Gurgaon/Gurugram +19 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Skill Development / Learning",272,1.2k,18,--,52,1,500
Carraro,4,Industrial Machinery | Campodarsego +2 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",273,1.4k,13,--,31,--,500
Treebo Hotels,3.3,Internet | Bangalore +36 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",273,1.5k,21,11,42,6,500
Osource India,3,IT Services & Consulting | Noida +19 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",--,--,--,--,--,--,500
TresVista,3,Financial Services | Mumbai +10 other locations,"Critically Rated For Work Life Balance, Work Satisfaction, Company Culture",272,2.3k,103,21,15,2,500
Aliens Group,3.3,Real Estate | Hyderabad/Secunderabad +5 other locations,"Critically Rated For Work Life Balance, Company Culture, Job Security",272,1.4k,29,42,66,1,500
Nyati Group,4.3,Real Estate | Pune +11 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",272,1.2k,26,3,25,4,500
L&T–MHI Power Boilers,3.9,Industrial Machinery | Faridabad +20 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",272,1.5k,8,--,44,--,500
Vini Cosmetics,3.7,Beauty & Personal Care | Ahmedabad +79 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Company Culture",272,735,12,--,20,--,500
Arabian Industries,3.9,Oil & Gas | Muscat +16 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,272,916,15,1,35,--,500
Kelly Services,4.3,Recruitment | Troy +35 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",272,1.5k,15,--,43,7,500
Servion Global Solutions,3.5,IT Services & Consulting | New Jersey +13 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",273,2.5k,32,9,30,--,500
CloudFoundation,4.9,Mumbai +10 other locations,"Highly Rated For Company Culture, Work Satisfaction, Job Security",272,125,--,--,71,--,500
Paragon Digital Services,3.3,Marketing & Advertising | Chennai +7 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",272,2.2k,17,--,30,--,500
Global Calcium,4,Pharma | Bangalore/Bengaluru +4 other locations,"Highly Rated For Job Security, Work Life Balance",271,1.5k,18,16,26,--,500
Top Office Pros Business Services,4.9,Logistics | Dubai +7 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",271,80,2,--,267,--,500
McNROE,4,FMCG | Kolkata +49 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security",271,1.1k,10,9,28,2,500
Zf Wind Power,4.1,Lommel +7 other locations,"Highly Rated For Job Security, Company Culture, Skill Development / Learning",271,1.4k,16,--,44,--,500
Polybond India,3.9,Auto Components | Pune +11 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",271,1.4k,12,7,27,--,500
Aditya Birla Housing Finance,3.8,Financial Services | Mumbai +71 other locations,Critically Rated For Promotions / Appraisal,271,1.2k,12,--,--,--,500
New Opportunity Consultancy,4.3,Recruitment | Navi Mumbai +109 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",271,902,8,--,22,--,500
Asort Company,4.4,Internet | Mohali +54 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",270,432,15,--,12,1,500
Mitsubishi Electric Automotive India,4.4,Automobile | New Delhi +15 other locations,"Highly Rated For Company Culture, Salary & Benefits, Work Satisfaction",270,898,23,--,55,--,500
Western Union,3.8,FinTech | Denver +18 other locations,"Highly Rated For Salary & Benefits, Work Life Balance  Critically Rated For Promotions / Appraisal",269,2.3k,27,--,45,10,500
Premier Energies,4.1,Power | Ghaziabad +14 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",269,1.4k,17,10,33,--,500
Kokuyo Camlin,3.9,FMCG | Mumbai +52 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",269,1.1k,21,1,28,--,500
Shree Baidyanath Ayurved Bhawan,3.5,Pharma | Allahabad/Prayagraj +36 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",269,1.1k,20,3,22,2,500
Parul University,3.5,Education & Training | Vadodara/Baroda +30 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",269,1k,20,13,34,7,500
Watertec India,4,Building Material | Mumbai +60 other locations,Highly Rated For Salary & Benefits,269,1.2k,13,5,28,7,500
Vedant Fashions,4,Fashion & Textile | Kolkata +42 other locations,"Highly Rated For Company Culture, Work Satisfaction, Job Security  Critically Rated For Promotions / Appraisal",270,1.2k,17,1,27,--,500
Paragon Footwear,4,Fashion & Textile | Delbruck +47 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",269,1.1k,17,1,6,--,500
Ipsos,3.4,Analytics & KPO | Paris +27 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",269,2k,33,2,24,--,500
Zuari Cement,4.3,Building Material | Bangalore/Bengaluru +34 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture",269,1.2k,15,1,33,--,500
AirAsia,3.6,Aviation | Kuala Lumpur +24 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",269,1.5k,30,--,47,--,500
Roquette Riddhi Siddhi,3.9,Lestrem +18 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",270,1.2k,8,--,41,--,500
Zydex Industries,4,Chemicals | Vadodara/Baroda +64 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",269,1.1k,21,10,34,--,500
Dixit Infotech Services,4.2,IT Services & Consulting | Mumbai +35 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",271,1.3k,15,2,22,1,500
L&T Transportation Infrastructure,4.6,Engineering & Construction | Aligarh +37 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",269,160,6,--,131,--,500
Titan Laboratories,3.7,Pharma | Mumbai +13 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction",269,928,8,7,58,--,500
Tata Digital,3,IT Services & Consulting | Mumbai +8 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",269,1.6k,39,13,44,16,500
Soma Enterprises,4.2,Engineering & Construction | Hyderabad/Secunderabad +46 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",268,870,7,--,50,--,500
CareEdge Ratings,3,Financial Services | Mumbai +18 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",268,1.8k,16,1,17,--,500
MNC Group,4.3,Investment Banking / Venture Capital / Private Equity | Jakarta +43 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",269,1.8k,95,--,55,--,500
Western Digital,3.5,Consumer Electronics & Appliances | San Jose +9 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",268,3k,49,--,30,2,500
Hindustan Wellness,4.1,Healthcare | Gurgaon +15 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",268,775,22,19,14,18,500
Ajio Business,3.6,Mumbai Suburban +99 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",267,488,14,--,11,1,500
Selec Controls,3.6,Electronics Manufacturing | Navi Mumbai +20 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",267,2k,29,1,25,5,500
Robosoft Technologies,3.4,IT Services & Consulting | New Udupi +9 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",267,2.1k,41,39,18,6,500
Koenig Solutions,4,Education & Training | Delhi/NCR +15 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",267,948,27,14,29,--,500
Lloyd Insulations,3.4,Industrial Machinery | Delhi/NCR +35 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",267,1.3k,16,10,28,2,500
Sunflag Iron and Steel,4,Iron & Steel | Nagpur +13 other locations,"Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal",267,1.2k,22,--,30,--,500
Subway,4.2,Hospitality | Milford +56 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",268,803,18,--,37,4,500
INFOSEC VENTURES,3.9,London +5 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",267,389,17,3,15,--,500
Kunal Structure,3.7,Real Estate | Ahmedabad +24 other locations,"Critically Rated For Promotions / Appraisal, Job Security",267,981,11,--,53,--,500
Ambuja Neotia,4,Real Estate | Kolkata +14 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",269,1.1k,14,10,26,1,500
Qentelli,4.2,IT Services & Consulting | Dallas +2 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",268,1.5k,19,39,88,25,500
Core Integra Consulting Services,3.5,Recruitment | Mumbai +68 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance",267,1.1k,14,1,25,--,500
Shyam Sel & Power,3.7,Industrial Machinery | Kolkata +22 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",267,1.4k,24,--,25,--,500
Nobel Hygiene,3.7,Healthcare | Mumbai +59 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",267,1.1k,16,9,27,2,500
Uneecops Technologies,3.8,IT Services & Consulting | Delhi/NCR +17 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,266,1.8k,16,--,36,3,500
Khimji Ramdas,4,Retail | Muscat +31 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,266,875,12,5,27,--,500
SALARPURIA SATTVA,4.2,Real Estate | Bangalore/Bengaluru +13 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",266,1.4k,29,--,22,--,500
Walplast Products,4,Engineering & Construction | Navi Mumbai +47 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",266,1.2k,24,9,33,--,500
Globtier Infotech Limited,3.5,IT Services & Consulting | Noida +34 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",267,1.8k,19,3,19,--,500
ANTOLIN,3.9,Auto Components | Burgos +15 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",267,1.6k,21,13,35,5,500
RWS Group,3.8,IT Services & Consulting | Chalfont St Peter +16 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",268,2.1k,26,15,19,6,500
Amartex Industries,4,Fashion & Textile | Panchkula +18 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",266,359,8,8,99,--,500
HyScaler,4.5,IT Services & Consulting | Santa Clara +3 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",265,225,90,--,93,18,500
Yara Fertilisers,4,Agro Chemicals | Oslo  +53 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Company Culture",265,1k,17,--,33,--,500
VST Industries,4,FMCG | Hyderabad/Secunderabad +72 other locations,Critically Rated For Promotions / Appraisal,265,927,11,--,31,--,500
Valvoline Cummins,4.1,Auto Components | Gurgaon/Gurugram +55 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",265,1.3k,11,2,31,--,500
Centre For Sight,3.9,Healthcare | Delhi +28 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,265,1.1k,14,18,31,--,500
IIT Bombay,4.6,Education & Training | Mumbai +9 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",265,1.7k,26,5,32,1,500
Ubisoft Entertainment,3.9,Gaming | Montreuil +6 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal",265,1.9k,33,10,51,--,500
TRL Krosaki Refractories,4,Metals & Mining | Jharsuguda +19 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",265,1.4k,25,--,39,2,500
Zeetech Management And Marketing,4.2,Dehradun +35 other locations,"Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning",265,59,9,--,19,--,500
InnovationM,4.3,IT Services & Consulting | Noida +6 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",265,736,20,12,48,103,500
Cygnet Infotech,3.6,IT Services & Consulting | Ahmedabad +11 other locations,"Critically Rated For Promotions / Appraisal, Job Security",265,2.2k,19,--,35,--,500
Mobiloitte Technologies,3,IT Services & Consulting | Delhi/NCR +5 other locations,"Critically Rated For Job Security, Company Culture, Salary & Benefits",265,1k,26,5,29,8,500
LKQ INDIA,3.7,IT Services & Consulting | Chicago +2 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",265,1.8k,29,5,28,7,500
Mahindra Last Mile Mobility,3.8,Automobile | Bangalore Rural +13 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",265,890,14,--,1,--,500
Sagar Cements,4.3,Building Material | Hyderabad/Secunderabad +41 other locations,"Highly Rated For Work Life Balance, Job Security, Work Satisfaction",265,1.2k,21,--,26,7,500
Concord Biotech,3.6,Pharma | Ahmedabad +15 other locations,"Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",265,1.8k,15,2,24,--,500
InfoService,4.1,IT Services & Consulting | Chennai +31 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",264,1.5k,39,9,14,--,500
Maharashtra Hybrid Seed Company,4.1,Agriculture | Jalna +60 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",265,838,6,--,32,2,500
Smart Value Products And Services,4.2,FMCG | Delhi/NCR +68 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",264,692,13,1,44,6,500
Hollister Medical,4.1,Medical Equipment | Illinois +9 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",264,1k,18,1,45,--,500
Sotc Travel Services,3.9,Travel & Tourism | Mumbai +32 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",264,1.3k,10,12,29,--,500
Cavisson Systems,2.3,IT Services & Consulting | Santa Clara +3 other locations,"Critically Rated For Company Culture, Salary & Benefits, Work Life Balance",264,2k,21,--,36,--,500
Copeland,4,Electronics Manufacturing | Sharjah +25 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",264,1.6k,19,27,1,--,500
ReachLocal Services,3.7,Marketing & Advertising | Mumbai +5 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,263,1.1k,19,4,25,11,500
Karuna Greentech,4.7,Electrical Equipment | Kolkata +19 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Salary & Benefits",263,148,2,--,20,1,500
AIS Glass Solutions,3.7,Building Material | Gurgaon +29 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Life Balance",264,1.4k,24,--,45,--,500
Joyalukkas,4.2,Retail | Dubai +62 other locations,"Highly Rated For Salary & Benefits, Job Security, Company Culture",263,765,18,3,28,--,500
Shriram Group,4,Financial Services | Chennai +119 other locations,Highly Rated For Company Culture,263,1.5k,9,--,21,--,500
IB Group,3.8,Food Processing | Rajnandgaon +58 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",263,1.4k,19,--,27,3,500
Halliburton,3.7,Engineering & Construction | Houston +22 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",263,1.4k,29,114,29,5,500
Indo Farm Equipment,3.2,Industrial Machinery | Solan +38 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",263,964,12,2,24,--,500
Cactus Communications,3.7,Software Product | Mumbai +12 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",263,1.6k,49,1,42,11,500
Vaibhav Global,3.3,Jewellery | Jaipur +9 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",263,1.4k,19,84,37,15,500
AXIS MY INDIA,3.9,Analytics & KPO | Mumbai +19 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance",263,460,13,2,36,--,500
Personiv,3.7,BPO | Austin +9 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning",263,1.9k,14,--,30,--,500
Arundhati Jewellers,4.7,Jewellery | Bhubaneswar +7 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Job Security",263,267,7,4,66,1,500
Protium Finance,3.8,Financial Services | Bhubaneswar +62 other locations,Highly Rated For Salary & Benefits,263,1.3k,26,8,6,--,500
Cadence Design Systems,4.1,Semiconductors | San Jose +13 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance",263,2.2k,61,64,41,--,500
InfodriveIndia,4.3,Other | New Delhi +3 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",262,461,7,7,124,--,500
Videocon Industries Ltd.,4,Consumer Electronics & Appliances | Mumbai +61 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",262,989,10,--,20,--,500
Thyssenkrupp Industrial Solutions,4.1,Industrial Machinery | Essen +21 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",262,1.3k,10,--,29,1,500
Sarvodaya Hospital,3.8,Healthcare | Faridabad +16 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",262,1.3k,15,25,24,3,500
Yum!,4.2,Hospitality | Colonel Sanders Lane +28 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance",262,1.1k,15,--,43,--,500
Angelique International,4.6,Engineering & Construction | Delhi/NCR +18 other locations,"Highly Rated For Work Satisfaction, Company Culture, Work Life Balance",262,1k,9,3,34,--,500
Gyproc,4.1,Bangalore / Bengaluru +36 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",262,968,11,--,52,--,500
IT By Design,4,IT Services & Consulting | Jersey City +11 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",262,1.4k,35,15,20,4,500
Windlas Biotech,4,Pharma | Gurugram +11 other locations,"Highly Rated For Work Life Balance, Salary & Benefits",262,1.3k,20,--,28,--,500
Aptean,3.3,Software Product | Alpharetta +4 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",262,2.1k,44,12,40,--,500
Windlas Biotech,4,Pharma | Gurugram +11 other locations,"Highly Rated For Work Life Balance, Salary & Benefits",262,1.3k,20,--,28,--,500
Uni Cards,4.3,FinTech | Bangalore +7 other locations,"Highly Rated For Salary & Benefits, Company Culture, Skill Development / Learning",262,630,21,4,8,10,500
Entigrity Solutions,4.1,Recruitment | New York +16 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",262,832,19,11,58,--,500
Bombardier Transportation,4.1,Urban Transport | Montreal +11 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",261,1.5k,12,--,45,--,500
Hyundai Construction Equipment,4.4,Industrial Machinery | Pune +35 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",261,1.5k,18,--,40,1,500
Multiplier Brand Solutions,3.7,Marketing & Advertising | New Delhi +61 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",261,840,10,543,31,1,500
Sabre,3.9,Software Product | Southlake +10 other locations,"Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Job Security, Promotions / Appraisal",261,2.4k,34,31,41,--,500
Fosroc India,4.5,Chemicals | Dubai +41 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",261,1.2k,14,15,44,5,500
Satin Finserv,4,NBFC | Maldah / Malda +76 other locations,"Highly Rated For Work Life Balance, Salary & Benefits",261,626,10,5,3,2,500
Nature's Basket,3.8,Internet | Mumbai +10 other locations,Critically Rated For Promotions / Appraisal,261,1k,12,--,30,--,500
Harsha Engineers,4.1,Auto Components | Ahmedabad +8 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",261,1.7k,26,5,44,--,500
NTPC GE Power Services,3.7,Oil & Gas | Noida +22 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",261,1.1k,37,1,27,2,500
KrazyBee,3.7,Internet | Bangalore +11 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",261,1.7k,14,1,23,1,500
Molecular Connections,3.4,IT Services & Consulting | Bangalore/Bengaluru +8 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",260,1.3k,20,--,24,13,500
Global Aluminium,3.9,Metals & Mining | Hyderabad/Secunderabad +15 other locations,Highly Rated For Skill Development / Learning,260,804,14,2,19,1,500
Adani Solar,3.9,Power | Ahmedabad +18 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Work Life Balance, Salary & Benefits",260,1.5k,35,--,115,--,500
SPML Infra,3.5,Engineering & Construction | Delhi/NCR +47 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",260,904,13,11,27,--,500
ACB (India),3.7,Oil & Gas | Gurgaon/Gurugram +22 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",260,1.5k,12,2,35,4,500
MN Dastur & Company,4.1,Metals & Mining | Kolkata +12 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",260,826,9,--,46,--,500
Everest Spices,3.8,FMCG | Mumbai +59 other locations,Critically Rated For Promotions / Appraisal,260,1k,10,--,21,--,500
Molecular Connections,3.4,IT Services & Consulting | Bangalore/Bengaluru +8 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",260,1.3k,20,--,24,13,500
Cooper Corporation,3.8,Auto Components | Pune +9 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Company Culture",260,1.5k,12,4,33,--,500
Somic ZF Components,4.2,Auto Components | Gurgaon/Gurugram +13 other locations,"Highly Rated For Company Culture, Work Satisfaction, Work Life Balance",260,1.1k,10,--,28,--,500
MN Dastur & Company,4.1,Metals & Mining | Kolkata +12 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",260,826,9,--,46,--,500
ACB (India),3.7,Oil & Gas | Gurgaon/Gurugram +22 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",260,1.5k,12,2,35,4,500
Nestaway,4,Internet | Bangalore +13 other locations,"Highly Rated For Work Life Balance  Critically Rated For Job Security, Promotions / Appraisal",260,1.8k,17,8,37,1,500
Thomson Digital,3.9,Printing & Publishing | Noida +8 other locations,"Highly Rated For Salary & Benefits, Work Life Balance",259,833,9,7,16,--,500
